release_date_int,Drama,United States of America,Documentary,Horror,Action,runtime,budget,revenue,Animation,Released,Comedy,xx_lan,Family,Rumored,Post Production,In Production,Pixar Animation Studios,is_english,United Kingdom,fa_lan,DC Comics,Switzerland,belongs_to_collection,Marvel Studios,Foreign,cs_lan,South Africa,af_lan,Twentieth Century Fox Film Corporation,History,Mystery,Hong Kong,Burkina Faso,Working Title Films,Australia,Hungary,Russia,TriStar Pictures,Bad Hat Harry Productions,Walt Disney Pictures,DreamWorks Animation,Thriller,Netherlands
19250625.0,1,1.0,0,0,0,95.0,923000.0,2500000.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19241204.0,1,1.0,0,0,0,140.0,546883.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19350222.0,1,1.0,0,0,0,80.0,21606623.53436832,0.0,0,1.0,0,0.0,1,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19250622.0,1,1.0,0,0,0,106.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19250906.0,1,1.0,0,1,0,101.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19250311.0,0,1.0,0,0,0,56.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19251230.0,1,1.0,0,0,0,143.0,3900000.0,9000000.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19260308.0,1,1.0,0,0,1,94.0,21606623.53436832,0.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19261013.0,1,0.0,0,1,0,116.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19270214.0,1,0.0,0,0,0,99.0,12000.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0.0
